0_0,CTCF
0_1,PO5F1
0_2,ZIC3
0_3,SOX2
0_4,TEAD1
0_5,SOX2
0_6,SP1
0_7,ZN281
0_8,Rfx1
0_9,NFYB
0_10,SIX1
