0_0,29040
0_1,28466
0_2,25481
0_3,13955
0_4,13055
0_5,12094
0_6,9720
0_7,5450
0_8,3276
0_9,3079
0_10,2645
0_11,2277
0_12,2237
0_13,2132
0_14,1948
0_15,1717
0_16,1712
0_17,1681
0_18,1611
0_19,1578
0_20,1496
0_21,1348
0_22,1217
0_23,1069
0_24,1045
0_25,1032
0_26,1006
0_27,599
0_28,491
0_29,362
0_30,310
0_31,239
0_32,224
0_33,219
0_34,146
0_35,110
0_36,108
0_37,108
0_38,78
0_39,69
0_40,55
0_41,46
0_42,38
0_43,35
0_44,30
0_45,28
0_46,22
0_47,22
0_48,20
1_0,397
1_1,90
1_2,80
1_3,63
1_4,62
1_5,47
1_6,47
1_7,44
1_8,38
1_9,32
1_10,21
1_11,20
