0_0,33945
0_1,31055
0_2,20226
0_3,17141
0_4,16150
0_5,12502
0_6,10067
0_7,6890
0_8,6841
0_9,3674
0_10,3366
0_11,2489
0_12,2315
0_13,2218
0_14,2201
0_15,2028
0_16,1858
0_17,1723
0_18,1574
0_19,1573
0_20,1557
0_21,1323
0_22,1302
0_23,1175
0_24,1031
0_25,995
0_26,980
0_27,959
0_28,494
0_29,457
0_30,274
0_31,250
0_32,233
0_33,201
0_34,186
0_35,173
0_36,168
0_37,147
0_38,142
0_39,127
0_40,103
0_41,86
0_42,70
0_43,67
0_44,60
0_45,55
0_46,53
0_47,47
0_48,40
0_49,39
0_50,36
0_51,35
0_52,31
0_53,29
0_54,27
0_55,24
1_0,258
1_1,37
