0_0,36701
0_1,33999
0_2,26962
0_3,13524
0_4,9508
0_5,6030
0_6,4161
0_7,3653
0_8,3175
0_9,2740
0_10,2729
0_11,2579
0_12,2295
0_13,1303
0_14,1239
0_15,1012
0_16,935
0_17,763
0_18,589
0_19,586
0_20,531
0_21,515
0_22,375
0_23,305
0_24,265
0_25,251
0_26,228
0_27,212
0_28,172
0_29,157
0_30,135
0_31,104
0_32,100
0_33,75
0_34,64
0_35,63
0_36,61
0_37,56
0_38,45
0_39,42
0_40,41
0_41,39
0_42,22
1_0,494
1_1,236
1_2,210
1_3,209
1_4,160
1_5,116
1_6,107
1_7,102
1_8,98
1_9,91
1_10,82
1_11,77
1_12,60
1_13,44
1_14,42
1_15,29
1_16,28
1_17,21
