0_0,57097
0_1,43446
0_2,26907
0_3,14790
0_4,13182
0_5,5878
0_6,5237
0_7,4922
0_8,4200
0_9,3804
0_10,3767
0_11,3557
0_12,3300
0_13,3135
0_14,2596
0_15,2560
0_16,2076
0_17,2015
0_18,1838
0_19,989
0_20,987
0_21,962
0_22,881
0_23,783
0_24,724
0_25,664
0_26,576
0_27,566
0_28,540
0_29,519
0_30,495
0_31,469
0_32,355
0_33,351
0_34,280
0_35,270
0_36,267
0_37,267
0_38,225
0_39,221
0_40,214
0_41,204
0_42,198
0_43,186
0_44,164
0_45,160
0_46,135
0_47,130
0_48,112
0_49,107
0_50,106
0_51,104
0_52,100
0_53,93
0_54,92
0_55,80
0_56,77
0_57,75
0_58,44
0_59,37
0_60,33
0_61,31
1_0,582
1_1,410
1_2,231
1_3,182
1_4,56
1_5,45
1_6,32
1_7,30
1_8,20
