key,Tn5-sim,DNASE-sim
0_0,0.4266536108278483,0.26321613979790487
0_1,0.550197628458498,0.40116694899303595
0_2,0.4195106550907656,0.5534964483030781
0_3,0.43258491652274034,0.3854634427173288
0_4,0.44763988746483274,0.5204751484839012
0_5,0.4387471182128945,0.42205262739486443
0_6,0.427422206506365,0.4610148514851485
0_7,0.4017857142857143,0.5229430379746836
0_8,0.41965973534971657,0.4547258979206049
0_9,0.5459244532803181,0.4674950298210736
0_10,0.46936353829557714,0.5685005393743258
0_11,0.3792629262926292,0.4668591859185918
0_12,0.43334367566449483,0.3822525597269625
0_13,0.2725256769374416,0.20401493930905695
0_14,0.34768465365480294,0.3399349406812094
0_15,0.18213296398891965,0.11366574330563249
0_16,0.3003568242640499,0.2546833184656557
0_17,0.3744725738396625,0.3727848101265823
0_18,0.20389884088514224,0.16455918510713033
0_19,0.3827764976958525,0.2488479262672811
0_20,0.3762711864406779,0.36723163841807904
0_21,0.2479943369513922,0.14747522416234074
0_22,0.2685483870967742,0.3895161290322581
0_23,0.3571428571428572,0.25
0_24,0.3115107913669065,0.2546762589928057
0_25,0.4769736842105263,0.5734649122807018
0_26,0.330952380952381,0.3968253968253968
0_27,0.33218588640275387,0.36316695352839934
0_28,0.16580086580086578,0.17748917748917747
0_29,0.32456140350877194,0.2412280701754386
0_30,0.32965686274509803,0.3174019607843137
0_31,0.2001661129568106,0.14036544850498336
0_32,0.47560975609756095,0.5
0_33,0.2849002849002849,0.22934472934472933
0_34,0.336996336996337,0.3516483516483517
0_35,0.23310810810810811,0.19031531531531531
0_36,0.28291316526610644,0.22128851540616248
0_37,0.6,0.72
0_38,0.36931818181818177,0.35511363636363635
