0_0,72611
0_1,19748
0_2,10812
0_3,6003
0_4,5979
0_5,5925
0_6,5804
0_7,5540
0_8,3954
0_9,3898
0_10,3821
0_11,3547
0_12,2984
0_13,2414
0_14,2005
0_15,1988
0_16,1973
0_17,1861
0_18,1789
0_19,1717
0_20,1445
0_21,1410
0_22,1330
0_23,1194
0_24,927
0_25,722
0_26,697
0_27,660
0_28,639
0_29,471
0_30,385
0_31,382
0_32,364
0_33,353
0_34,352
0_35,340
0_36,291
0_37,217
0_38,178
0_39,178
0_40,162
0_41,100
0_42,99
0_43,97
0_44,79
0_45,75
0_46,74
0_47,68
0_48,64
0_49,58
0_50,55
0_51,54
0_52,54
0_53,52
0_54,52
0_55,49
0_56,49
0_57,45
0_58,45
0_59,44
0_60,40
0_61,38
0_62,34
0_63,31
0_64,27
0_65,24
0_66,23
0_67,23
0_68,22
0_69,22
1_0,306
