0_0,33393
0_1,30688
0_2,23865
0_3,12213
0_4,9525
0_5,5855
0_6,5041
0_7,3823
0_8,3413
0_9,2816
0_10,2673
0_11,2558
0_12,2274
0_13,2207
0_14,2053
0_15,1255
0_16,1166
0_17,903
0_18,753
0_19,646
0_20,567
0_21,414
0_22,300
0_23,236
0_24,182
0_25,170
0_26,169
0_27,156
0_28,140
0_29,134
0_30,132
0_31,121
0_32,119
0_33,98
0_34,92
0_35,74
0_36,58
0_37,54
0_38,53
0_39,45
0_40,40
0_41,35
0_42,34
0_43,33
0_44,27
0_45,25
0_46,23
1_0,855
1_1,530
1_2,430
1_3,338
1_4,216
1_5,191
1_6,147
1_7,141
1_8,140
1_9,139
1_10,123
1_11,115
1_12,83
1_13,75
1_14,63
1_15,56
1_16,55
1_17,50
1_18,41
1_19,31
1_20,26
1_21,24
1_22,21
