0_0,34157
0_1,29527
0_2,23338
0_3,14431
0_4,13115
0_5,8779
0_6,8240
0_7,7452
0_8,6431
0_9,5528
0_10,5413
0_11,4910
0_12,4562
0_13,4221
0_14,3695
0_15,3528
0_16,2901
0_17,2031
0_18,1756
0_19,1691
0_20,1503
0_21,1359
0_22,1346
0_23,1270
0_24,962
0_25,715
0_26,627
0_27,580
0_28,550
0_29,550
0_30,489
0_31,489
0_32,314
0_33,216
0_34,198
0_35,191
0_36,191
0_37,190
0_38,162
0_39,156
0_40,131
0_41,128
0_42,127
0_43,117
0_44,114
0_45,97
0_46,88
0_47,77
0_48,69
0_49,64
0_50,60
0_51,54
0_52,52
0_53,46
0_54,39
0_55,38
0_56,34
0_57,33
0_58,22
1_0,97
1_1,46
1_2,40
1_3,30
1_4,21
