0_0,81493
0_1,21717
0_2,12484
0_3,9546
0_4,7776
0_5,7181
0_6,6867
0_7,6667
0_8,5459
0_9,4696
0_10,4372
0_11,4339
0_12,3139
0_13,3082
0_14,2536
0_15,2249
0_16,2133
0_17,1822
0_18,1782
0_19,1554
0_20,1427
0_21,1119
0_22,1088
0_23,1062
0_24,1053
0_25,964
0_26,774
0_27,707
0_28,615
0_29,529
0_30,496
0_31,462
0_32,446
0_33,429
0_34,374
0_35,312
0_36,283
0_37,277
0_38,273
0_39,190
0_40,175
0_41,143
0_42,114
0_43,109
0_44,101
0_45,98
0_46,90
0_47,88
0_48,78
0_49,71
0_50,71
0_51,65
0_52,62
0_53,57
0_54,50
0_55,47
0_56,47
0_57,46
0_58,46
0_59,45
0_60,41
0_61,35
0_62,28
0_63,27
0_64,25
0_65,23
0_66,20
1_0,362
1_1,263
1_2,39
1_3,38
1_4,21
