0_0,94770
0_1,26858
0_2,21640
0_3,20629
0_4,18160
0_5,17378
0_6,14191
0_7,13016
0_8,12562
0_9,12469
0_10,11510
0_11,11145
0_12,10990
0_13,9790
0_14,5843
0_15,4485
0_16,4481
0_17,4475
0_18,4433
0_19,3432
0_20,3311
0_21,3048
0_22,2942
0_23,2542
0_24,2094
0_25,1902
0_26,1852
0_27,1688
0_28,1619
0_29,1250
0_30,1164
0_31,1140
0_32,1040
0_33,978
0_34,936
0_35,926
0_36,736
0_37,656
0_38,621
0_39,586
0_40,481
0_41,434
0_42,427
0_43,379
0_44,370
0_45,336
0_46,329
0_47,300
0_48,294
0_49,275
0_50,264
0_51,263
0_52,235
0_53,235
0_54,232
0_55,227
0_56,213
0_57,185
0_58,184
0_59,176
0_60,176
0_61,167
0_62,161
0_63,159
0_64,153
0_65,144
0_66,143
0_67,133
0_68,110
0_69,103
0_70,86
0_71,85
0_72,84
0_73,82
0_74,82
0_75,72
0_76,68
0_77,68
0_78,65
0_79,63
0_80,62
0_81,62
0_82,61
0_83,61
0_84,58
0_85,57
0_86,56
0_87,54
0_88,52
0_89,51
0_90,49
0_91,44
0_92,44
0_93,42
0_94,40
0_95,37
0_96,37
0_97,33
0_98,30
0_99,28
0_100,27
0_101,26
0_102,25
0_103,22
0_104,20
1_0,14110
1_1,8250
1_2,6510
1_3,3887
1_4,2494
1_5,2441
1_6,1732
1_7,1387
1_8,529
1_9,512
1_10,395
1_11,350
1_12,302
1_13,248
1_14,248
1_15,240
1_16,239
1_17,217
1_18,215
1_19,199
1_20,186
1_21,184
1_22,184
1_23,178
1_24,170
1_25,157
1_26,156
1_27,134
1_28,131
1_29,129
1_30,121
1_31,117
1_32,113
1_33,104
1_34,104
1_35,104
1_36,99
1_37,99
1_38,97
1_39,96
1_40,96
1_41,95
1_42,94
1_43,92
1_44,74
1_45,71
1_46,66
1_47,65
1_48,61
1_49,56
1_50,53
1_51,45
1_52,44
1_53,44
1_54,34
1_55,29
