0_0,16433
0_1,12833
0_2,5275
0_3,3982
0_4,3935
0_5,3057
0_6,2863
0_7,2554
0_8,2323
0_9,2256
0_10,1904
0_11,1360
0_12,1139
0_13,1138
0_14,1043
0_15,1009
0_16,887
0_17,820
0_18,679
0_19,623
0_20,558
0_21,419
0_22,395
0_23,234
0_24,226
0_25,207
0_26,177
0_27,170
0_28,158
0_29,148
0_30,146
0_31,142
0_32,108
0_33,95
0_34,86
0_35,78
0_36,72
0_37,50
0_38,41
0_39,40
0_40,29
0_41,28
0_42,24
0_43,23
0_44,22
0_45,22
0_46,21
1_0,238
1_1,221
1_2,147
1_3,138
1_4,136
1_5,121
1_6,118
1_7,88
1_8,73
1_9,69
1_10,30
