0_0,54321
0_1,31750
0_2,15853
0_3,12702
0_4,11331
0_5,9034
0_6,8703
0_7,8653
0_8,6789
0_9,5661
0_10,4180
0_11,4023
0_12,3576
0_13,2812
0_14,2743
0_15,2564
0_16,2473
0_17,2330
0_18,2252
0_19,1877
0_20,1845
0_21,1706
0_22,1679
0_23,1587
0_24,1575
0_25,1449
0_26,1386
0_27,1374
0_28,1177
0_29,948
0_30,918
0_31,905
0_32,861
0_33,792
0_34,735
0_35,719
0_36,715
0_37,650
0_38,515
0_39,414
0_40,367
0_41,364
0_42,325
0_43,318
0_44,316
0_45,266
0_46,233
0_47,224
0_48,202
0_49,189
0_50,179
0_51,175
0_52,165
0_53,160
0_54,159
0_55,145
0_56,143
0_57,123
0_58,107
0_59,104
0_60,101
0_61,96
0_62,94
0_63,87
0_64,87
0_65,85
0_66,67
0_67,65
0_68,59
0_69,44
0_70,42
0_71,40
0_72,32
0_73,31
0_74,29
0_75,28
0_76,26
0_77,25
0_78,24
0_79,24
0_80,23
1_0,1940
1_1,1042
1_2,918
1_3,856
1_4,612
1_5,374
1_6,283
1_7,277
1_8,225
1_9,217
1_10,195
1_11,186
1_12,177
1_13,166
1_14,162
1_15,129
1_16,120
1_17,120
1_18,96
1_19,92
1_20,74
1_21,68
1_22,63
1_23,47
1_24,34
1_25,30
1_26,27
1_27,23
1_28,21
