0_0,52684
0_1,28794
0_2,23646
0_3,17853
0_4,14786
0_5,8804
0_6,7342
0_7,5078
0_8,4203
0_9,3744
0_10,3662
0_11,3586
0_12,3311
0_13,3209
0_14,3037
0_15,3008
0_16,2960
0_17,2842
0_18,2544
0_19,2256
0_20,2146
0_21,1764
0_22,1746
0_23,1617
0_24,1434
0_25,1361
0_26,969
0_27,942
0_28,867
0_29,846
0_30,790
0_31,761
0_32,689
0_33,650
0_34,546
0_35,533
0_36,528
0_37,520
0_38,442
0_39,441
0_40,440
0_41,409
0_42,342
0_43,239
0_44,239
0_45,227
0_46,204
0_47,192
0_48,184
0_49,181
0_50,173
0_51,173
0_52,168
0_53,167
0_54,166
0_55,166
0_56,158
0_57,150
0_58,150
0_59,143
0_60,136
0_61,127
0_62,110
0_63,96
0_64,91
0_65,89
0_66,81
0_67,74
0_68,74
0_69,74
0_70,63
0_71,63
0_72,54
0_73,53
0_74,39
0_75,37
0_76,35
0_77,32
0_78,31
0_79,30
0_80,29
0_81,29
0_82,27
0_83,27
0_84,27
0_85,23
0_86,22
1_0,4246
1_1,3711
1_2,2541
1_3,1032
1_4,977
1_5,950
1_6,875
1_7,732
1_8,683
1_9,586
1_10,535
1_11,529
1_12,417
1_13,415
1_14,397
1_15,370
1_16,368
1_17,349
1_18,328
1_19,325
1_20,290
1_21,230
1_22,189
1_23,189
1_24,188
1_25,181
1_26,167
1_27,163
1_28,156
1_29,112
1_30,110
1_31,101
1_32,90
1_33,59
1_34,45
1_35,42
1_36,32
1_37,28
1_38,23
