0_0,52927
0_1,24477
0_2,17657
0_3,16533
0_4,8071
0_5,6327
0_6,6254
0_7,6249
0_8,3709
0_9,3356
0_10,3250
0_11,2942
0_12,2574
0_13,2559
0_14,2256
0_15,2088
0_16,1933
0_17,1926
0_18,1865
0_19,1819
0_20,1785
0_21,1721
0_22,1691
0_23,1437
0_24,975
0_25,813
0_26,811
0_27,689
0_28,601
0_29,594
0_30,550
0_31,544
0_32,529
0_33,521
0_34,402
0_35,323
0_36,300
0_37,241
0_38,240
0_39,197
0_40,177
0_41,159
0_42,145
0_43,129
0_44,105
0_45,87
0_46,81
0_47,80
0_48,78
0_49,64
0_50,64
0_51,50
0_52,45
0_53,36
0_54,34
0_55,33
0_56,30
0_57,29
1_0,1003
1_1,258
1_2,38
1_3,24
