0_0,36366
0_1,33817
0_2,26683
0_3,13473
0_4,9415
0_5,5999
0_6,4151
0_7,3616
0_8,3234
0_9,2722
0_10,2699
0_11,2553
0_12,2279
0_13,1719
0_14,1293
0_15,1002
0_16,960
0_17,933
0_18,771
0_19,525
0_20,518
0_21,304
0_22,290
0_23,247
0_24,233
0_25,224
0_26,173
0_27,133
0_28,116
0_29,96
0_30,81
0_31,76
0_32,67
0_33,64
0_34,63
0_35,61
0_36,49
0_37,47
0_38,46
0_39,42
0_40,40
0_41,38
0_42,21
1_0,497
1_1,228
1_2,205
1_3,145
1_4,120
1_5,111
1_6,104
1_7,91
1_8,89
1_9,86
1_10,80
1_11,75
1_12,47
1_13,44
1_14,40
1_15,39
1_16,39
1_17,34
1_18,34
1_19,26
