0_0,23531
0_1,21041
0_2,19779
0_3,18677
0_4,16442
0_5,8830
0_6,7082
0_7,6000
0_8,5344
0_9,3449
0_10,2773
0_11,2769
0_12,2540
0_13,2116
0_14,2106
0_15,2011
0_16,1751
0_17,1468
0_18,1352
0_19,1318
0_20,1203
0_21,1014
0_22,970
0_23,898
0_24,796
0_25,748
0_26,723
0_27,634
0_28,471
0_29,411
0_30,368
0_31,352
0_32,319
0_33,244
0_34,234
0_35,216
0_36,193
0_37,189
0_38,177
0_39,167
0_40,164
0_41,151
0_42,145
0_43,137
0_44,114
0_45,88
0_46,82
0_47,52
0_48,47
0_49,40
0_50,39
0_51,33
0_52,33
0_53,28
0_54,27
0_55,23
0_56,23
0_57,23
1_0,6444
1_1,2865
1_2,1539
1_3,1055
1_4,1023
1_5,860
1_6,730
1_7,718
1_8,705
1_9,528
1_10,491
1_11,483
1_12,481
1_13,452
1_14,433
1_15,430
1_16,427
1_17,411
1_18,305
1_19,296
1_20,295
1_21,288
1_22,286
1_23,257
1_24,251
1_25,249
1_26,242
1_27,218
1_28,216
1_29,168
1_30,167
1_31,148
1_32,131
1_33,125
1_34,123
1_35,105
1_36,95
1_37,87
1_38,86
1_39,83
1_40,83
1_41,78
1_42,78
1_43,77
1_44,72
1_45,66
1_46,64
1_47,44
1_48,33
1_49,33
1_50,29
1_51,23
1_52,20
