0_0,CTCF
0_1,SPI1
0_2,IRF4
0_3,BATF/JUNB
0_4,RUNX3
0_5,IRF4
0_6,RELB
0_7,SP1
0_8,NFYA
0_9,POU2F2
0_10,RELB
0_11,BATF/IRF4
0_12,NRF1
0_13,RELB
0_14,IRF4
0_15,HNF1A
