0_0,CTCF
0_1,HNF4G
0_2,FOXM1
0_3,FOXO6
0_4,SP1
0_5,HNF1B
0_6,CEBPB
0_7,ATF3
0_8,ELK
0_9,NFYB
0_10,NR5A2
0_11,FOXB1
