0_0,40158
0_1,31104
0_2,11987
0_3,10061
0_4,9354
0_5,8011
0_6,7979
0_7,6669
0_8,5520
0_9,5393
0_10,5104
0_11,3113
0_12,2782
0_13,2574
0_14,2556
0_15,2432
0_16,2430
0_17,1871
0_18,1605
0_19,1277
0_20,995
0_21,968
0_22,684
0_23,669
0_24,659
0_25,526
0_26,499
0_27,471
0_28,283
0_29,277
0_30,273
0_31,259
0_32,151
0_33,121
0_34,108
0_35,104
0_36,104
0_37,71
0_38,69
0_39,59
0_40,50
0_41,50
0_42,46
0_43,46
0_44,42
0_45,38
0_46,30
0_47,29
0_48,28
0_49,27
1_0,167
1_1,157
1_2,150
1_3,149
1_4,147
1_5,124
1_6,122
1_7,121
1_8,89
1_9,57
1_10,30
1_11,26
