0_0,47968
0_1,26836
0_2,18127
0_3,16890
0_4,16441
0_5,14595
0_6,9176
0_7,8405
0_8,7001
0_9,5674
0_10,3682
0_11,3036
0_12,1991
0_13,1915
0_14,1816
0_15,1483
0_16,1268
0_17,1114
0_18,1093
0_19,931
0_20,843
0_21,720
0_22,572
0_23,420
0_24,419
0_25,398
0_26,322
0_27,260
0_28,244
0_29,184
0_30,153
0_31,153
0_32,146
0_33,122
0_34,114
0_35,82
0_36,70
0_37,70
0_38,67
0_39,57
0_40,41
0_41,36
0_42,33
0_43,31
0_44,31
0_45,24
0_46,23
0_47,22
0_48,21
0_49,20
1_0,966
1_1,403
1_2,350
1_3,299
1_4,261
1_5,244
1_6,219
1_7,157
1_8,137
1_9,135
1_10,133
1_11,128
1_12,120
1_13,102
1_14,90
1_15,74
1_16,51
1_17,47
1_18,44
1_19,36
1_20,35
1_21,29
