0_0,39695
0_1,34273
0_2,10841
0_3,10650
0_4,10045
0_5,8953
0_6,6915
0_7,5571
0_8,5513
0_9,5038
0_10,3942
0_11,2995
0_12,2979
0_13,2492
0_14,2316
0_15,2272
0_16,2126
0_17,2042
0_18,1898
0_19,1578
0_20,1537
0_21,1245
0_22,1094
0_23,966
0_24,814
0_25,759
0_26,698
0_27,677
0_28,651
0_29,568
0_30,548
0_31,457
0_32,398
0_33,377
0_34,332
0_35,318
0_36,305
0_37,242
0_38,175
0_39,163
0_40,157
0_41,110
0_42,105
0_43,79
0_44,74
0_45,56
0_46,49
0_47,49
0_48,41
0_49,40
0_50,39
0_51,34
0_52,31
0_53,24
1_0,65
1_1,46
1_2,41
1_3,40
1_4,32
1_5,25
1_6,24
