0_0,47849
0_1,38311
0_2,36418
0_3,21817
0_4,21765
0_5,20876
0_6,9357
0_7,8566
0_8,4381
0_9,3819
0_10,2773
0_11,2658
0_12,2604
0_13,2170
0_14,1888
0_15,1307
0_16,1107
0_17,1081
0_18,1049
0_19,987
0_20,879
0_21,737
0_22,724
0_23,574
0_24,391
0_25,367
0_26,358
0_27,306
0_28,296
0_29,295
0_30,259
0_31,235
0_32,203
0_33,190
0_34,168
0_35,134
0_36,128
0_37,108
0_38,102
0_39,75
0_40,71
0_41,65
0_42,64
0_43,60
0_44,53
0_45,53
0_46,43
0_47,42
0_48,35
0_49,35
0_50,35
0_51,28
0_52,20
1_0,3215
1_1,1426
1_2,1321
1_3,324
1_4,310
1_5,228
1_6,203
1_7,151
1_8,137
1_9,132
1_10,130
1_11,121
1_12,119
1_13,113
1_14,110
1_15,106
1_16,105
1_17,104
1_18,99
1_19,92
1_20,83
1_21,63
1_22,53
1_23,38
1_24,37
1_25,28
1_26,26
