cCRE File,Biosample Slim,Biosample type,Organ,Biosample summary + donor,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig
ENCFF298BKQ.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_head_of_caudate_nucleus_tissue_female_adult_82_years_ENCDO290OPS,ENCSR239MQN,ENCFF298BKQ,---,---,---,---,---,---
ENCFF905SCU.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO948PMW,ENCSR297WRG,ENCFF905SCU,---,---,---,---,---,---
ENCFF193ZCX.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_head_of_caudate_nucleus_tissue_female_adult_89_years_ENCDO896WHW,ENCSR334MDJ,ENCFF193ZCX,---,---,---,---,---,---
ENCFF477CEG_ENCFF580GFO_ENCFF646KVN_ENCFF496PUD.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_middle_frontal_area_46_tissue_male_adult_84_years_ENCDO999WDR,ENCSR849WGE,ENCFF477CEG,ENCSR570PYH,ENCFF580GFO,ENCSR554HDT,ENCFF646KVN,ENCSR452KYY,ENCFF496PUD
ENCFF153ZPN.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_head_of_caudate_nucleus_tissue_female_adult_82_years_ENCDO377QXX,ENCSR024BXN,ENCFF153ZPN,---,---,---,---,---,---
ENCFF179VUT_ENCFF711EZK_ENCFF909JLH_ENCFF924IJQ.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_middle_frontal_area_46_tissue_female_adult_79_years_ENCDO609ZOG,ENCSR173YSO,ENCFF179VUT,ENCSR128YOH,ENCFF711EZK,ENCSR278JAH,ENCFF909JLH,ENCSR351SWL,ENCFF924IJQ
ENCFF243RUA.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_posterior_cingulate_gyrus_tissue_female_adult_90_or_above_years_ENCDO948PMW,ENCSR590EFT,ENCFF243RUA,---,---,---,---,---,---
ENCFF654NNL.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO634UMA,ENCSR849CYU,ENCFF654NNL,---,---,---,---,---,---
ENCFF148TKD.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_posterior_cingulate_gyrus_tissue_male_adult_78_years_ENCDO623FPG,ENCSR365FVU,ENCFF148TKD,---,---,---,---,---,---
ENCFF411LUQ_ENCFF057OQQ.bed.gz,"common myeloid progenitor, CD34-positive",primary cell,bone element; bone marrow,"Homo_sapiens_common_myeloid_progenitor,_CD34-positive_male_adult_ENCDO642MQK",ENCSR271QSV,ENCFF411LUQ,ENCSR163ALM,ENCFF057OQQ,---,---,---,---
ENCFF653PWS.bed.gz,muscle of leg,tissue,limb; musculature of body,Homo_sapiens_muscle_of_leg_tissue_male_embryo_97_days_ENCDO576LXR,ENCSR294QCR,ENCFF653PWS,---,---,---,---,---,---
ENCFF135GKT.bed.gz,muscle of leg,tissue,limb; musculature of body,Homo_sapiens_muscle_of_leg_tissue_male_embryo_105_days_ENCDO171HMD,ENCSR514QHN,ENCFF135GKT,---,---,---,---,---,---
ENCFF358UVV.bed.gz,stomach,tissue,stomach,Homo_sapiens_stomach_tissue_female_embryo_121_days_ENCDO920LST,ENCSR282QFE,ENCFF358UVV,---,---,---,---,---,---
ENCFF785AVA.bed.gz,right lung,tissue,lung,Homo_sapiens_right_lung_tissue_female_embryo_98_days_ENCDO837QWL,ENCSR445XYW,ENCFF785AVA,---,---,---,---,---,---
ENCFF719ZZK.bed.gz,T-cell,primary cell,blood; bodily fluid,Homo_sapiens_T-cell_male_adult_36_years_ENCDO441UHQ,ENCSR627UDJ,ENCFF719ZZK,---,---,---,---,---,---
ENCFF784EMF.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_head_of_caudate_nucleus_tissue_male_adult_89_years_ENCDO697SWU,ENCSR677XGD,ENCFF784EMF,---,---,---,---,---,---
ENCFF639FLQ.bed.gz,muscle of leg,tissue,limb; musculature of body,Homo_sapiens_muscle_of_leg_tissue_male_embryo_96_days_ENCDO817EKT,ENCSR059LXL,ENCFF639FLQ,---,---,---,---,---,---
ENCFF845WGL.bed.gz,thymus,tissue,endocrine gland; immune organ; thymus,Homo_sapiens_thymus_tissue_female_embryo_98_days_ENCDO837QWL,ENCSR541UPY,ENCFF845WGL,---,---,---,---,---,---
ENCFF910KFI_ENCFF487DOQ.bed.gz,foreskin keratinocyte,primary cell,epithelium; penis; skin of body,Homo_sapiens_foreskin_keratinocyte_male_newborn_ENCDO047TBB,ENCSR035RVH,ENCFF910KFI,ENCSR075OQB,ENCFF487DOQ,---,---,---,---
ENCFF779UTQ.bed.gz,fibroblast of skin of back,primary cell,connective tissue; skin of body,Homo_sapiens_fibroblast_of_skin_of_back_male_embryo_97_days_ENCDO597UXW,ENCSR184LMY,ENCFF779UTQ,---,---,---,---,---,---
ENCFF283AUC.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_posterior_cingulate_gyrus_tissue_female_adult_85_years_ENCDO982NCL,ENCSR943MRO,ENCFF283AUC,---,---,---,---,---,---
ENCFF245XIJ.bed.gz,large intestine,tissue,intestine; large intestine,Homo_sapiens_large_intestine_tissue_male_embryo_105_days_ENCDO350ZUK,ENCSR531HPD,ENCFF245XIJ,---,---,---,---,---,---
ENCFF758ZXY.bed.gz,muscle of back,tissue,musculature of body,Homo_sapiens_muscle_of_back_tissue_male_embryo_96_days_ENCDO220PYT,ENCSR698CUE,ENCFF758ZXY,---,---,---,---,---,---
ENCFF372RPI.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_posterior_cingulate_gyrus_tissue_female_adult_82_years_ENCDO165PNJ,ENCSR006XFA,ENCFF372RPI,---,---,---,---,---,---
ENCFF080QSA.bed.gz,midbrain,tissue,brain,Homo_sapiens_midbrain_tissue_male_adult_78_years_and_male_adult_84_years_ENCDO317XRR,ENCSR706IDL,ENCFF080QSA,---,---,---,---,---,---
ENCFF743ZDV.bed.gz,renal cortex interstitium,tissue,kidney,Homo_sapiens_renal_cortex_interstitium_tissue_female_embryo_120_days_ENCDO555CMC,ENCSR524DWS,ENCFF743ZDV,---,---,---,---,---,---
ENCFF103BBE.bed.gz,ELF-1,cell line,embryo,Homo_sapiens_ELF-1_ENCDO524DZC,ENCSR678ILN,ENCFF103BBE,---,---,---,---,---,---
ENCFF437SND.bed.gz,posterior cingulate gyrus,tissue,brain,"Homo_sapiens_with_Cognitive_impairment,_Alzheimer's_disease_posterior_cingulate_gyrus_tissue_male_adult_80_years_ENCDO920NSS",ENCSR037PIU,ENCFF437SND,---,---,---,---,---,---
ENCFF290JDE.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_posterior_cingulate_gyrus_tissue_female_adult_90_or_above_years_ENCDO201EUI,ENCSR579RVI,ENCFF290JDE,---,---,---,---,---,---
ENCFF397SMJ_ENCFF666VNK_ENCFF419XHK_ENCFF457ZFQ.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_middle_frontal_area_46_tissue_male_adult_90_or_above_years_ENCDO877NVF,ENCSR059NIN,ENCFF397SMJ,ENCSR403PHS,ENCFF666VNK,ENCSR136KIM,ENCFF419XHK,ENCSR068DJS,ENCFF457ZFQ
ENCFF669POI.bed.gz,lung,tissue,lung,Homo_sapiens_lung_tissue_male_embryo_108_days_ENCDO177SBN,ENCSR076YBB,ENCFF669POI,---,---,---,---,---,---
ENCFF806NJW.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO473TSU,ENCSR650TZF,ENCFF806NJW,---,---,---,---,---,---
ENCFF707HLC_ENCFF935CPK_ENCFF557HHH_ENCFF880CZK.bed.gz,ascending aorta,tissue,arterial blood vessel; blood vessel; vasculature,Homo_sapiens_ascending_aorta_tissue_female_adult_51_years_ENCDO271OUW,ENCSR422IIZ,ENCFF707HLC,ENCSR645FBM,ENCFF935CPK,ENCSR982QIF,ENCFF557HHH,ENCSR846JKO,ENCFF880CZK
ENCFF576ZEH.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO853KFT,ENCSR339TVH,ENCFF576ZEH,---,---,---,---,---,---
ENCFF108VDE.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_female_adult_86_years_ENCDO997SGX,ENCSR373TLU,ENCFF108VDE,---,---,---,---,---,---
ENCFF118JST_ENCFF446ELY_ENCFF509VVM_ENCFF257ODJ.bed.gz,heart right ventricle,tissue,heart,Homo_sapiens_heart_right_ventricle_tissue_female_adult_56_years_ENCDO907YUG,ENCSR246VSO,ENCFF118JST,ENCSR494QLL,ENCFF446ELY,ENCSR821DYI,ENCFF509VVM,ENCSR323ZAP,ENCFF257ODJ
ENCFF338HPK.bed.gz,stomach,tissue,stomach,Homo_sapiens_stomach_tissue_female_embryo_105_days_ENCDO766MZV,ENCSR119HXE,ENCFF338HPK,---,---,---,---,---,---
ENCFF956IPA.bed.gz,heart right ventricle,tissue,heart,Homo_sapiens_heart_right_ventricle_tissue_male_adult_54_years_ENCDO039RUH,ENCSR792QQE,ENCFF956IPA,---,---,---,---,---,---
ENCFF567PRD.bed.gz,hematopoietic multipotent progenitor cell,in vitro differentiated cells,blood; bodily fluid,Homo_sapiens_hematopoietic_multipotent_progenitor_cell_ENCDO579CCQ,ENCSR328UMC,ENCFF567PRD,---,---,---,---,---,---
ENCFF934HJD.bed.gz,right renal cortex interstitium,tissue,kidney,Homo_sapiens_right_renal_cortex_interstitium_tissue_male_embryo_120_days_ENCDO327QNA,ENCSR887BNC,ENCFF934HJD,---,---,---,---,---,---
ENCFF321BJG_ENCFF797NQV.bed.gz,heart left ventricle,tissue,heart,Homo_sapiens_heart_left_ventricle_tissue_male_adult_54_years_ENCDO039RUH,ENCSR735NTV,ENCFF321BJG,---,---,---,---,ENCSR350NBQ,ENCFF797NQV
ENCFF799EDE.bed.gz,left lung,tissue,lung,Homo_sapiens_left_lung_tissue_male_embryo_115_days_ENCDO816OTW,ENCSR935EVZ,ENCFF799EDE,---,---,---,---,---,---
ENCFF366YAV.bed.gz,testis,tissue,gonad; testis,Homo_sapiens_testis_tissue_male_embryo_ENCDO836UAR,ENCSR278FHC,ENCFF366YAV,---,---,---,---,---,---
ENCFF681IJJ.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_posterior_cingulate_gyrus_tissue_female_adult_90_or_above_years_ENCDO471EKG,ENCSR258POP,ENCFF681IJJ,---,---,---,---,---,---
ENCFF122VLP_ENCFF869EMQ_ENCFF707MHB_ENCFF412TOH.bed.gz,heart left ventricle,tissue,heart,Homo_sapiens_heart_left_ventricle_tissue_female_adult_56_years_ENCDO907YUG,ENCSR805EGZ,ENCFF122VLP,ENCSR560XLD,ENCFF869EMQ,ENCSR561VNL,ENCFF707MHB,ENCSR825NXC,ENCFF412TOH
ENCFF060GSU_ENCFF744OPP.bed.gz,RWPE2,cell line,epithelium; prostate gland,Homo_sapiens_RWPE2_ENCDO135ZNV,ENCSR306BHE,ENCFF060GSU,ENCSR297ONS,ENCFF744OPP,---,---,---,---
ENCFF466OTS.bed.gz,left renal pelvis,tissue,kidney; ureter,Homo_sapiens_left_renal_pelvis_tissue_male_embryo_105_days_ENCDO513BVP,ENCSR258IBL,ENCFF466OTS,---,---,---,---,---,---
ENCFF451YPK.bed.gz,inferior parietal cortex,tissue,brain,Homo_sapiens_inferior_parietal_cortex_tissue_male_adult_84_years_ENCDO240JUB,ENCSR986YWZ,ENCFF451YPK,---,---,---,---,---,---
ENCFF098BSH.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_embryo_96_days_ENCDO226BUZ,ENCSR060BFU,ENCFF098BSH,---,---,---,---,---,---
ENCFF675DRF.bed.gz,left renal cortex interstitium,tissue,kidney,Homo_sapiens_left_renal_cortex_interstitium_tissue_male_embryo_105_days_ENCDO513BVP,ENCSR928SYE,ENCFF675DRF,---,---,---,---,---,---
ENCFF770JQW.bed.gz,smooth muscle cell of the brain vasculature,primary cell,vasculature,Homo_sapiens_smooth_muscle_cell_of_the_brain_vasculature_female_ENCDO229AAA,ENCSR000ENG,ENCFF770JQW,---,---,---,---,---,---
ENCFF997ASP.bed.gz,muscle of back,tissue,musculature of body,Homo_sapiens_muscle_of_back_tissue_male_embryo_101_days_ENCDO148CGW,ENCSR174GXG,ENCFF997ASP,---,---,---,---,---,---
ENCFF387JED.bed.gz,renal pelvis,tissue,kidney,Homo_sapiens_renal_pelvis_tissue_female_embryo_105_days_ENCDO766MZV,ENCSR619DRM,ENCFF387JED,---,---,---,---,---,---
ENCFF894JGX.bed.gz,small intestine,tissue,intestine; small intestine,Homo_sapiens_small_intestine_tissue_female_embryo_91_days_ENCDO605ZCF,ENCSR457ILW,ENCFF894JGX,---,---,---,---,---,---
ENCFF282LNU.bed.gz,small intestine,tissue,intestine; small intestine,Homo_sapiens_small_intestine_tissue_female_embryo_110_days_ENCDO087TLK,ENCSR083FBK,ENCFF282LNU,---,---,---,---,---,---
ENCFF188VFM.bed.gz,muscle of back,tissue,musculature of body,Homo_sapiens_muscle_of_back_tissue_female_embryo_98_days_ENCDO837QWL,ENCSR072NBR,ENCFF188VFM,---,---,---,---,---,---
ENCFF145YIG.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_male_adult_90_or_above_years_ENCDO197QVG,ENCSR885WWJ,ENCFF145YIG,---,---,---,---,---,---
ENCFF284ARV.bed.gz,urinary bladder,tissue,urinary bladder,Homo_sapiens_urinary_bladder_tissue_male_embryo_76_days_ENCDO647EYG,ENCSR813CKU,ENCFF284ARV,---,---,---,---,---,---
ENCFF683GNU.bed.gz,T-helper 1 cell,primary cell,blood; bodily fluid,Homo_sapiens_T-helper_1_cell_ENCDO174AAA,ENCSR000EIG,ENCFF683GNU,---,---,---,---,---,---
ENCFF543IKD.bed.gz,dermis microvascular lymphatic vessel endothelial cell,primary cell,epithelium; lymphatic vessel; skin of body; vasculature,Homo_sapiens_dermis_microvascular_lymphatic_vessel_endothelial_cell_male_ENCDO243AAA,ENCSR000EOB,ENCFF543IKD,---,---,---,---,---,---
ENCFF241BAF.bed.gz,dermis blood vessel endothelial cell,primary cell,blood vessel; epithelium; skin of body; vasculature,Homo_sapiens_dermis_blood_vessel_endothelial_cell_male_newborn_ENCDO241AAA,ENCSR000ENZ,ENCFF241BAF,---,---,---,---,---,---
ENCFF230UGR.bed.gz,HTR-8/SVneo,cell line,embryo; extraembryonic component; placenta,Homo_sapiens_HTR-8/SVneo_ENCDO252AAA,ENCSR000EKC,ENCFF230UGR,---,---,---,---,---,---
ENCFF352VPU.bed.gz,fibroblast of gingiva,primary cell,connective tissue; mouth,Homo_sapiens_fibroblast_of_gingiva_ENCDO235AAA,ENCSR000ENS,ENCFF352VPU,---,---,---,---,---,---
ENCFF937YXE.bed.gz,urothelium cell line,cell line,epithelium,Homo_sapiens_urothelium_cell_line_ENCDO000ADS,ENCSR000ELV,ENCFF937YXE,---,---,---,---,---,---
ENCFF712UVC.bed.gz,brain,tissue,brain,Homo_sapiens_brain_tissue_embryo_56_days_and_male_embryo_58_days_ENCDO652XOU,ENCSR595CSH,ENCFF712UVC,---,---,---,---,---,---
ENCFF140GVM.bed.gz,8988T,cell line,pancreas,Homo_sapiens_8988T_ENCDO000ACP,ENCSR000EID,ENCFF140GVM,---,---,---,---,---,---
ENCFF281YXX.bed.gz,iPS-NIHi7,cell line,skin of body,Homo_sapiens_iPS-NIHi7_originated_from_AG08395_ENCDO016AAA,ENCSR000EKK,ENCFF281YXX,---,---,---,---,---,---
ENCFF656SOX.bed.gz,stomach,tissue,stomach,Homo_sapiens_stomach_tissue_male_embryo_58_days_and_male_embryo_76_days_ENCDO647EYG,ENCSR095GWE,ENCFF656SOX,---,---,---,---,---,---
ENCFF064DIM.bed.gz,retina,tissue,eye,Homo_sapiens_retina_tissue_embryo_125_days_and_male_embryo_103_days_ENCDO225GSN,ENCSR474GZQ,ENCFF064DIM,---,---,---,---,---,---
ENCFF921DTY.bed.gz,spinal cord,tissue,spinal cord,Homo_sapiens_spinal_cord_tissue_female_embryo_59_days_and_male_embryo_72_days_ENCDO294EUZ,ENCSR910OQF,ENCFF921DTY,---,---,---,---,---,---
ENCFF727CHU.bed.gz,iPS DF 19.7,cell line,penis; skin of body; skin of prepuce of penis,Homo_sapiens_iPS_DF_19.7_ENCDO592CQV,ENCSR440QMR,ENCFF727CHU,---,---,---,---,---,---
ENCFF554LFC.bed.gz,T-helper 17 cell,primary cell,blood; bodily fluid,Homo_sapiens_T-helper_17_cell_ENCDO284AAA,ENCSR000EQF,ENCFF554LFC,---,---,---,---,---,---
ENCFF530FHO.bed.gz,lung,tissue,lung,Homo_sapiens_lung_tissue_embryo_67_days_ENCDO936EIF,ENCSR504KZE,ENCFF530FHO,---,---,---,---,---,---
ENCFF438OIC.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_female_embryo_108_days_ENCDO012PVK,ENCSR419MZH,ENCFF438OIC,---,---,---,---,---,---
ENCFF876OBV_ENCFF083ENU_ENCFF306RJQ_ENCFF297EQI.bed.gz,pancreas,tissue,pancreas,Homo_sapiens_pancreas_tissue_female_adult_59_years_ENCDO856ZOJ,ENCSR999VDH,ENCFF876OBV,ENCSR713YDD,ENCFF083ENU,ENCSR868ZOR,ENCFF306RJQ,ENCSR113COJ,ENCFF297EQI
ENCFF305IPH.bed.gz,mucosa of descending colon,tissue,colon; intestine; large intestine,Homo_sapiens_mucosa_of_descending_colon_tissue_male_adult_26_years_ENCDO221IPH,ENCSR507DQC,ENCFF305IPH,---,---,---,---,---,---
ENCFF563TJP.bed.gz,thymus,tissue,endocrine gland; immune organ; thymus,Homo_sapiens_thymus_tissue_male_embryo_127_days_ENCDO859GXV,ENCSR164PQJ,ENCFF563TJP,---,---,---,---,---,---
ENCFF147AZB_ENCFF197ZMU.bed.gz,MG63,cell line,bone element,Homo_sapiens_MG63_ENCDO987OSE,ENCSR443YJP,ENCFF147AZB,ENCSR579SNM,ENCFF197ZMU,---,---,---,---
ENCFF676INB_ENCFF766SYL_ENCFF932GWQ.bed.gz,"naive thymus-derived CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_naive_thymus-derived_CD4-positive,_alpha-beta_T_cell_ENCDO836ICQ",ENCSR614NSH,ENCFF676INB,ENCSR235WEI,ENCFF766SYL,ENCSR185TFI,ENCFF932GWQ,---,---
ENCFF527AEJ.bed.gz,muscle of arm,tissue,limb; musculature of body,Homo_sapiens_muscle_of_arm_tissue_male_embryo_97_days_ENCDO576LXR,ENCSR649PJN,ENCFF527AEJ,---,---,---,---,---,---
ENCFF411RQS.bed.gz,heart,tissue,heart,Homo_sapiens_heart_tissue_female_embryo_91_days_ENCDO605ZCF,ENCSR064GBK,ENCFF411RQS,---,---,---,---,---,---
ENCFF242OKC.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_male_embryo_85_days_ENCDO355UBP,ENCSR856QJX,ENCFF242OKC,---,---,---,---,---,---
ENCFF859XYE.bed.gz,tongue,tissue,mouth; tongue,Homo_sapiens_tongue_tissue_female_embryo_59_days_and_female_embryo_76_days_ENCDO237NAG,ENCSR759UNY,ENCFF859XYE,---,---,---,---,---,---
ENCFF123CER.bed.gz,SW480,cell line,colon; epithelium; intestine; large intestine,Homo_sapiens_SW480_ENCDO499CXJ,ENCSR217SET,ENCFF123CER,---,---,---,---,---,---
ENCFF036KGR.bed.gz,limb,tissue,limb,Homo_sapiens_limb_tissue_embryo_58_days_and_embryo_59_days_ENCDO234CBV,ENCSR532CRI,ENCFF036KGR,---,---,---,---,---,---
ENCFF636WJT.bed.gz,left lung,tissue,lung,Homo_sapiens_left_lung_tissue_male_embryo_113_days_ENCDO608XKS,ENCSR488PHT,ENCFF636WJT,---,---,---,---,---,---
ENCFF403IJQ.bed.gz,lung,tissue,lung,Homo_sapiens_lung_tissue_male_embryo_54_days_and_male_embryo_58_days_ENCDO652XOU,ENCSR627NIF,ENCFF403IJQ,---,---,---,---,---,---
ENCFF254NBU.bed.gz,heart left ventricle,tissue,heart,Homo_sapiens_heart_left_ventricle_tissue_male_adult_69_years_ENCDO477WED,ENCSR222CLC,ENCFF254NBU,---,---,---,---,---,---
ENCFF330KCN.bed.gz,right lung,tissue,lung,Homo_sapiens_right_lung_tissue_male_embryo_115_days_ENCDO816OTW,ENCSR228BOM,ENCFF330KCN,---,---,---,---,---,---
ENCFF073VLK.bed.gz,spinal cord,tissue,spinal cord,Homo_sapiens_spinal_cord_tissue_male_embryo_96_days_ENCDO220PYT,ENCSR788SOI,ENCFF073VLK,---,---,---,---,---,---
ENCFF555JIC.bed.gz,stomach,tissue,stomach,Homo_sapiens_stomach_tissue_female_embryo_98_days_ENCDO837QWL,ENCSR208DMX,ENCFF555JIC,---,---,---,---,---,---
ENCFF600IHC_ENCFF546IYU_ENCFF151LJA.bed.gz,"activated CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_activated_CD4-positive,_alpha-beta_T_cell_male_adult_35_years_treated_with_anti-CD3_and_anti-CD28_coated_beads_ENCDO374BBL",ENCSR365CUB,ENCFF600IHC,ENCSR272VRX,ENCFF546IYU,ENCSR360XNZ,ENCFF151LJA,---,---
ENCFF518SGA_ENCFF827GEQ_ENCFF235TYQ_ENCFF419QIY.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_female_adult_53_years_ENCDO793LXB,ENCSR053ZKP,ENCFF518SGA,ENCSR605QAV,ENCFF827GEQ,ENCSR189QAD,ENCFF235TYQ,ENCSR770IWO,ENCFF419QIY
ENCFF847FPR_ENCFF454ERF_ENCFF982IVZ_ENCFF505OIJ.bed.gz,heart right ventricle,tissue,heart,Homo_sapiens_heart_right_ventricle_tissue_male_adult_43_years_ENCDO967KID,ENCSR298OIK,ENCFF847FPR,ENCSR178KWE,ENCFF454ERF,ENCSR342KXD,ENCFF982IVZ,ENCSR928RNP,ENCFF505OIJ
ENCFF004OUB.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_female_embryo_85_days_ENCDO527XLA,ENCSR866RCY,ENCFF004OUB,---,---,---,---,---,---
ENCFF586KKK_ENCFF571BDF_ENCFF010WWO.bed.gz,tibial artery,tissue,arterial blood vessel; blood vessel; limb; vasculature,Homo_sapiens_tibial_artery_tissue_male_adult_54_years_ENCDO451RUA,ENCSR090IDV,ENCFF586KKK,ENCSR342FPJ,ENCFF571BDF,ENCSR535GFO,ENCFF010WWO,---,---
ENCFF427YCR.bed.gz,left lung,tissue,lung,Homo_sapiens_left_lung_tissue_male_embryo_96_days_ENCDO817EKT,ENCSR639XWF,ENCFF427YCR,---,---,---,---,---,---
ENCFF644VHX_ENCFF201UPO_ENCFF038BIZ_ENCFF670BZH.bed.gz,tibial nerve,tissue,limb; nerve,Homo_sapiens_tibial_nerve_tissue_male_adult_37_years_ENCDO845WKR,ENCSR484UAU,ENCFF644VHX,ENCSR384MUF,ENCFF201UPO,ENCSR516LQO,ENCFF038BIZ,ENCSR434XLP,ENCFF670BZH
ENCFF638VPH.bed.gz,bronchial epithelial cell,primary cell,bronchus; epithelium; lung,Homo_sapiens_bronchial_epithelial_cell_female_treated_with_6_μM_retinoic_acid_for_48_hours_ENCDO099AAA,ENCSR000EPN,ENCFF638VPH,---,---,---,---,---,---
ENCFF980OLF.bed.gz,"CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD4-positive,_alpha-beta_T_cell_male_adult_37_years_ENCDO028NGF",ENCSR167JFX,ENCFF980OLF,---,---,---,---,---,---
ENCFF297HLF.bed.gz,placenta,tissue,extraembryonic component; placenta,Homo_sapiens_placenta_tissue_female_embryo_85_days_ENCDO527XLA,ENCSR648RAX,ENCFF297HLF,---,---,---,---,---,---
ENCFF967PSY.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_male_embryo_101_days_ENCDO148CGW,ENCSR080PZL,ENCFF967PSY,---,---,---,---,---,---
ENCFF470NUO_ENCFF540TKM_ENCFF643EGV.bed.gz,T-cell,primary cell,blood; bodily fluid,Homo_sapiens_T-cell_male_adult_37_years_ENCDO028NGF,ENCSR366YTD,ENCFF470NUO,ENCSR395YXN,ENCFF540TKM,ENCSR222QLW,ENCFF643EGV,---,---
ENCFF949XIH.bed.gz,GM19240,cell line,blood; bodily fluid,Homo_sapiens_GM19240_ENCDO000ACN,ENCSR000EJL,ENCFF949XIH,---,---,---,---,---,---
ENCFF700ODC.bed.gz,large intestine,tissue,intestine; large intestine,Homo_sapiens_large_intestine_tissue_female_embryo_105_days_ENCDO766MZV,ENCSR444VTC,ENCFF700ODC,---,---,---,---,---,---
ENCFF452YZP.bed.gz,RCC 7860,cell line,epithelium; kidney,Homo_sapiens_RCC_7860_ENCDO000ADK,ENCSR037PGI,ENCFF452YZP,---,---,---,---,---,---
ENCFF044PUS.bed.gz,"CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD4-positive,_alpha-beta_T_cell_female_adult_33_years_ENCDO412QUR",ENCSR643GHI,ENCFF044PUS,---,---,---,---,---,---
ENCFF543JQI.bed.gz,right lung,tissue,lung,Homo_sapiens_right_lung_tissue_female_embryo_117_days_ENCDO453STB,ENCSR845MEJ,ENCFF543JQI,---,---,---,---,---,---
ENCFF833OSP.bed.gz,right kidney,tissue,kidney,Homo_sapiens_right_kidney_tissue_male_embryo_87_days_ENCDO126IGB,ENCSR332BSB,ENCFF833OSP,---,---,---,---,---,---
ENCFF783ZKX.bed.gz,thymus,tissue,endocrine gland; immune organ; thymus,Homo_sapiens_thymus_tissue_female_embryo_147_days_ENCDO863JOG,ENCSR777USE,ENCFF783ZKX,---,---,---,---,---,---
ENCFF379EHP_ENCFF321LZL_ENCFF774RLX_ENCFF397CJU.bed.gz,thyroid gland,tissue,endocrine gland; thyroid gland,Homo_sapiens_thyroid_gland_tissue_female_adult_51_years_ENCDO271OUW,ENCSR450PWF,ENCFF379EHP,ENCSR309UVT,ENCFF321LZL,ENCSR500YBS,ENCFF774RLX,ENCSR955BIB,ENCFF397CJU
ENCFF099PUP.bed.gz,heart left ventricle,tissue,heart,Homo_sapiens_heart_left_ventricle_tissue_female_embryo_136_days_ENCDO294LOE,ENCSR501FWC,ENCFF099PUP,---,---,---,---,---,---
ENCFF411YZS_ENCFF839NZT.bed.gz,lung,tissue,lung,Homo_sapiens_lung_tissue_female_embryo_120_days_ENCDO670CKN,ENCSR214XJO,ENCFF411YZS,ENCSR936FAH,ENCFF839NZT,---,---,---,---
ENCFF342IAV_ENCFF692PQC_ENCFF464STM.bed.gz,naive B cell,primary cell,blood; bodily fluid,Homo_sapiens_naive_B_cell_ENCDO976NED,ENCSR184TUE,ENCFF342IAV,ENCSR115FGJ,ENCFF692PQC,ENCSR440ZMH,ENCFF464STM,---,---
