cCRE File,Biosample Slim,Biosample type,Organ,Biosample summary + donor,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig
ENCFF701NPD_ENCFF303ECD.bed.gz,NT2/D1,cell line,epithelium; gonad; testis,Homo_sapiens_NT2/D1_ENCDO000ADH,ENCSR000EPS,ENCFF701NPD,ENCSR000EXD,ENCFF303ECD,---,---,---,---
ENCFF270ENA_ENCFF935BFQ_ENCFF063VLJ_ENCFF662LGI.bed.gz,MCF-7,cell line,epithelium; exocrine gland; mammary gland,Homo_sapiens_MCF-7_ENCDO000AAE,ENCSR000EKV,ENCFF270ENA,ENCSR000DWJ,ENCFF935BFQ,ENCSR752UOD,ENCFF063VLJ,ENCSR000DWH,ENCFF662LGI
ENCFF389PZY_ENCFF587XGD_ENCFF184NWF_ENCFF496PSJ.bed.gz,CD14-positive monocyte,primary cell,blood; bodily fluid,Homo_sapiens_CD14-positive_monocyte_female_ENCDO265AAA,ENCSR000EPK,ENCFF389PZY,ENCSR000ASN,ENCFF587XGD,ENCSR000ASJ,ENCFF184NWF,ENCSR000ATN,ENCFF496PSJ
ENCFF909KVS_ENCFF300WXD_ENCFF504UNY_ENCFF976GAM.bed.gz,endodermal cell,in vitro differentiated cells,embryo,Homo_sapiens_endodermal_cell_ENCDO222AAA,ENCSR166KPV,ENCFF909KVS,ENCSR788UDH,ENCFF300WXD,ENCSR193VOB,ENCFF504UNY,ENCSR398RET,ENCFF976GAM
ENCFF623TJB_ENCFF465MDM_ENCFF907RYE_ENCFF936QRH.bed.gz,PC-9,cell line,lung,Homo_sapiens_PC-9_ENCDO647UHQ,ENCSR940NLN,ENCFF623TJB,ENCSR441JWF,ENCFF465MDM,ENCSR769FOC,ENCFF907RYE,ENCSR243INX,ENCFF936QRH
ENCFF816IIS_ENCFF958CFK_ENCFF213BSP_ENCFF070LLG.bed.gz,A673,cell line,musculature of body,Homo_sapiens_A673_ENCDO027VXA,ENCSR346JWH,ENCFF816IIS,ENCSR435FGK,ENCFF958CFK,ENCSR714TJD,ENCFF213BSP,ENCSR611JJS,ENCFF070LLG
ENCFF648XPS_ENCFF207MNM_ENCFF485DKZ_ENCFF466BIT.bed.gz,cardiac muscle cell,in vitro differentiated cells,heart; musculature of body,Homo_sapiens_cardiac_muscle_cell_originated_from_RUES2_ENCDO924HBJ,ENCSR842KCP,ENCFF648XPS,ENCSR652QNW,ENCFF207MNM,ENCSR000NPF,ENCFF485DKZ,ENCSR713SXF,ENCFF466BIT
ENCFF286QGB_ENCFF835JIA_ENCFF618RAO_ENCFF700SCP.bed.gz,neural progenitor cell,in vitro differentiated cells,,Homo_sapiens_neural_progenitor_cell_originated_from_H9_ENCDO222AAA,ENCSR963ALV,ENCFF286QGB,ENCSR661MUS,ENCFF835JIA,ENCSR449AXO,ENCFF618RAO,ENCSR125NBL,ENCFF700SCP
ENCFF903ZCB_ENCFF179HBV_ENCFF988WEQ_ENCFF963CHU.bed.gz,H9,cell line,embryo,Homo_sapiens_H9_ENCDO222AAA,ENCSR662RIZ,ENCFF903ZCB,ENCSR756IGI,ENCFF179HBV,ENCSR372FFA,ENCFF988WEQ,ENCSR871MKQ,ENCFF963CHU
ENCFF733AUS_ENCFF986AGK_ENCFF526IVK.bed.gz,AG04449,cell line,connective tissue; skin of body,Homo_sapiens_AG04449_ENCDO001AAA,ENCSR000ELX,ENCFF733AUS,ENCSR000DPI,ENCFF986AGK,---,---,ENCSR000DPG,ENCFF526IVK
ENCFF894JCY_ENCFF156BQJ.bed.gz,GM10266,cell line,blood; bodily fluid,Homo_sapiens_GM10266_ENCDO000ABJ,ENCSR000EJC,ENCFF894JCY,---,---,---,---,ENCSR000DKR,ENCFF156BQJ
ENCFF766CUM_ENCFF446OPT_ENCFF641QBD_ENCFF369MIX.bed.gz,GM23338,cell line,skin of body,Homo_sapiens_GM23338_originated_from_GM23248_ENCDO336AAA,ENCSR004SUL,ENCFF766CUM,ENCSR657DYL,ENCFF446OPT,ENCSR729ENO,ENCFF641QBD,ENCSR932ZMX,ENCFF369MIX
ENCFF291LQB_ENCFF036OWY_ENCFF558IWG.bed.gz,GM23248,cell line,connective tissue; limb; skin of body,Homo_sapiens_GM23248_ENCDO336AAA,ENCSR217TAW,ENCFF291LQB,ENCSR479HKJ,ENCFF036OWY,ENCSR007YOT,ENCFF558IWG,---,---
ENCFF830BXD_ENCFF835KIQ_ENCFF452NQO.bed.gz,GM12865,cell line,blood; bodily fluid,Homo_sapiens_GM12865_ENCDO000ABP,ENCSR000EMS,ENCFF830BXD,ENCSR000DRC,ENCFF835KIQ,---,---,ENCSR000DRE,ENCFF452NQO
ENCFF237KVM_ENCFF738STL_ENCFF438ZPS.bed.gz,choroid plexus epithelial cell,primary cell,brain; epithelium; vasculature,Homo_sapiens_choroid_plexus_epithelial_cell_ENCDO097AAA,ENCSR000ENL,ENCFF237KVM,ENCSR000DTN,ENCFF738STL,---,---,ENCSR000DTL,ENCFF438ZPS
ENCFF971HXR_ENCFF376ZIM_ENCFF699OAR_ENCFF105FHL.bed.gz,IMR-90,cell line,connective tissue; lung,Homo_sapiens_IMR-90_ENCDO000AAX,ENCSR477RTP,ENCFF971HXR,ENCSR087PFU,ENCFF376ZIM,ENCSR002YRE,ENCFF699OAR,ENCSR000EFI,ENCFF105FHL
ENCFF927PNR_ENCFF752EUQ_ENCFF076GOF.bed.gz,foreskin fibroblast,primary cell,connective tissue; penis; skin of body,Homo_sapiens_foreskin_fibroblast_male_newborn_ENCDO191CQJ,ENCSR000EPP,ENCFF927PNR,ENCSR000DWS,ENCFF752EUQ,---,---,ENCSR000DWQ,ENCFF076GOF
ENCFF786SQQ_ENCFF836LQZ_ENCFF233THH.bed.gz,AG09309,cell line,connective tissue; skin of body,Homo_sapiens_AG09309_ENCDO002AAA,ENCSR000ELZ,ENCFF786SQQ,ENCSR000DPR,ENCFF836LQZ,---,---,ENCSR000DPP,ENCFF233THH
ENCFF258OVM_ENCFF453DCX_ENCFF330JYE.bed.gz,cardiac fibroblast,primary cell,connective tissue; heart,Homo_sapiens_cardiac_fibroblast_female_adult_ENCDO230AAA,ENCSR000ENI,ENCFF258OVM,ENCSR000DTH,ENCFF453DCX,---,---,ENCSR000DTF,ENCFF330JYE
ENCFF758YZS_ENCFF979EBB_ENCFF674AZI.bed.gz,fibroblast of the aortic adventitia,primary cell,arterial blood vessel; blood vessel; connective tissue; vasculature,Homo_sapiens_fibroblast_of_the_aortic_adventitia_female_ENCDO175AAA,ENCSR000EMC,ENCFF758YZS,ENCSR000DQA,ENCFF979EBB,---,---,ENCSR000DPY,ENCFF674AZI
